n,t,rH,Q,soak,assured,time,arc
n,t,rH,Q,soak,assured,time,arc
n,t,rH,Q,soak,assured,time,arc
n,t,rH,Q,soak,assured,time,arc
n,t,rH,Q,soak,assured
n,t,rH,Q,soak,assured,time,arc
n,t,rH,Q,soak,assured
n,t,rH,Q,soak,assured,time,arc
n,t,rH,Q,soak,assured
n,t,rH,Q,soak,assured,time,arc
4,20,20,13,50,1,1122.0750303268433,108
4,20,20,13,50,1,1131.99125790596,109
4,20,20,13,50,1,1141.9890928268433,110
4,20,20,13,50,1,1151.9957304000854,111
4,20,20,13,50,1,1162.0129914283752,112
4,20,20,13,50,1,1172.13858127594,113
4,20,20,13,50,1,1182.0231487751007,114
4,20,20,13,50,1,1192.0375742912292,115
4,20,20,13,50,1,1202.0423800945282,116
4,20,20,13,50,1,1212.0555200576782,117
4,20,20,13,50,1,1222.171236038208,118
4,20,20,13,50,1,1232.0509595870972,119
4,20,20,13,50,1,1242.0709247589111,120
4,20,20,13,50,1,1252.074758052826,121
4,20,20,13,50,1,1262.0616071224213,122
4,20,20,13,50,1,1272.0670211315155,123
4,20,20,13,50,1,1282.0721518993378,124
4,20,20,13,50,1,1292.1146087646484,125
4,20,20,13,50,1,1302.1081686019897,126
4,20,20,13,50,1,1312.1048872470856,127
4,20,20,13,50,1,1322.1181139945984,128
4,20,20,13,50,1,1332.110692024231,129
4,20,20,13,50,1,1342.226912021637,130
4,20,20,13,50,1,1352.1072800159454,131
4,20,20,13,50,1,1362.1305117607117,132
4,20,20,13,50,1,1372.1093091964722,133
4,20,20,13,50,1,1382.1339719295502,134
4,20,20,13,50,1,1392.1453566551208,135
4,20,20,13,50,1,1402.1760580539703,136
4,20,20,13,50,1,1412.160903453827,137
4,20,20,13,50,1,1422.1424705982208,138
4,20,20,13,50,1,1432.1611368656158,139
4,20,20,13,50,1,1442.1516318321228,140
4,20,20,13,50,1,1452.1620547771454,141
4,20,20,13,50,1,1462.163408756256,142
4,20,20,13,50,1,1472.161072731018,143
4,20,20,13,50,1,1482.1853399276733,144
4,20,20,13,50,1,1492.1645348072052,145
4,20,20,13,50,1,1502.1772198677063,146
4,20,20,13,50,1,1512.2271687984467,147
4,20,20,13,50,1,1522.2190051078796,148
4,20,20,13,50,1,1532.190015077591,149
4,20,20,13,50,1,1542.200082063675,150
4,20,20,13,50,1,1552.238489151001,151
4,20,20,13,50,1,1562.2207896709442,152
1,10,20,10,20,1
1,10,20,10,20,1,1.500579833984375,1
1,10,20,10,20,1,11.542534112930298,2
1,10,20,10,20,1,21.41245150566101,3
2,10,80,11,30,1
2,10,80,11,30,1,31.847323656082153,1
3,20,80,12,40,1
